title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
If You Still Down,Homeboy Lopez,0.59,0.625,10,-9.773,0,0.434,0.283,0.0,0.316,0.793,120.016,n,4UilZzulXVsIuvcOJNLhx9,spotify:track:4UilZzulXVsIuvcOJNLhx9,https://api.spotify.com/v1/tracks/4UilZzulXVsIuvcOJNLhx9,https://api.spotify.com/v1/audio-analysis/4UilZzulXVsIuvcOJNLhx9,181640,5,6
Im High,Homeboy Lopez,0.771,0.901,7,-6.899,1,0.101,0.124,0.0,0.151,0.862,140.37,n,5xa7fw2ZsA9LNqT1djnSg2,spotify:track:5xa7fw2ZsA9LNqT1djnSg2,https://api.spotify.com/v1/tracks/5xa7fw2ZsA9LNqT1djnSg2,https://api.spotify.com/v1/audio-analysis/5xa7fw2ZsA9LNqT1djnSg2,205667,4,4
Point Blank (feat. Pewee),Homeboy Lopez,0.743,0.504,8,-10.919,1,0.248,0.503,0.0,0.0848,0.685,62.339,n,1rpbKZa1Z4izxpnCjJss7T,spotify:track:1rpbKZa1Z4izxpnCjJss7T,https://api.spotify.com/v1/tracks/1rpbKZa1Z4izxpnCjJss7T,https://api.spotify.com/v1/audio-analysis/1rpbKZa1Z4izxpnCjJss7T,344320,4,4
Linwood Park 2,Homeboy Lopez,0.623,0.624,2,-9.564,0,0.264,0.675,3.26e-06,0.235,0.676,134.994,n,1puaYrHJZGcFfOn8STpS3a,spotify:track:1puaYrHJZGcFfOn8STpS3a,https://api.spotify.com/v1/tracks/1puaYrHJZGcFfOn8STpS3a,https://api.spotify.com/v1/audio-analysis/1puaYrHJZGcFfOn8STpS3a,217427,4,2
Movement,Homeboy Lopez,0.929,0.607,2,-9.435,1,0.251,0.464,0.0,0.2,0.61,105.534,n,1HvUIFOJ64Wff79UvnpDLl,spotify:track:1HvUIFOJ64Wff79UvnpDLl,https://api.spotify.com/v1/tracks/1HvUIFOJ64Wff79UvnpDLl,https://api.spotify.com/v1/audio-analysis/1HvUIFOJ64Wff79UvnpDLl,161933,4,0
Smokin on That,Homeboy Lopez,0.721,0.485,4,-10.151,0,0.0289,0.101,0.0,0.124,0.338,129.98,n,5HU3dy3O3idek8n3gUnLYE,spotify:track:5HU3dy3O3idek8n3gUnLYE,https://api.spotify.com/v1/tracks/5HU3dy3O3idek8n3gUnLYE,https://api.spotify.com/v1/audio-analysis/5HU3dy3O3idek8n3gUnLYE,253973,4,2
Coming Through Screwed (feat. Pewee),Homeboy Lopez,0.841,0.501,1,-13.954,1,0.085,0.767,0.0,0.098,0.768,119.996,n,311Ayi1L96Noc6GaHRg1CY,spotify:track:311Ayi1L96Noc6GaHRg1CY,https://api.spotify.com/v1/tracks/311Ayi1L96Noc6GaHRg1CY,https://api.spotify.com/v1/audio-analysis/311Ayi1L96Noc6GaHRg1CY,370053,4,7
Work Screwed (feat. Lil Cas),Homeboy Lopez,0.742,0.86,1,-5.744,1,0.207,0.417,0.0,0.197,0.329,127.295,n,7DW8bO9PNgLzw4i0bycBul,spotify:track:7DW8bO9PNgLzw4i0bycBul,https://api.spotify.com/v1/tracks/7DW8bO9PNgLzw4i0bycBul,https://api.spotify.com/v1/audio-analysis/7DW8bO9PNgLzw4i0bycBul,217733,4,7
Point Blank Screwed (feat. Pewee),Homeboy Lopez,0.835,0.468,1,-11.57,1,0.15,0.67,0.0,0.0817,0.651,113.384,n,62KNllqEHITzcD2xpKoKfP,spotify:track:62KNllqEHITzcD2xpKoKfP,https://api.spotify.com/v1/tracks/62KNllqEHITzcD2xpKoKfP,https://api.spotify.com/v1/audio-analysis/62KNllqEHITzcD2xpKoKfP,378773,4,7
Naturistic Human,Plank Mike,0.896,0.299,1,-12.365,1,0.114,0.0042,0.943,0.104,0.195,105.97,n,1KfnAvDa91PEIV5VSLuLDT,spotify:track:1KfnAvDa91PEIV5VSLuLDT,https://api.spotify.com/v1/tracks/1KfnAvDa91PEIV5VSLuLDT,https://api.spotify.com/v1/audio-analysis/1KfnAvDa91PEIV5VSLuLDT,122260,4,8
This World Is Crazy,Lonely Drifter Karen,0.544,0.356,11,-9.455,0,0.0584,0.734,1.62e-05,0.269,0.356,107.246,n,1GDUNfXgMKG50wLUpVhDcP,spotify:track:1GDUNfXgMKG50wLUpVhDcP,https://api.spotify.com/v1/tracks/1GDUNfXgMKG50wLUpVhDcP,https://api.spotify.com/v1/audio-analysis/1GDUNfXgMKG50wLUpVhDcP,214640,4,12
The Angels Sigh,Lonely Drifter Karen,0.445,0.441,0,-8.668,1,0.0253,0.244,7.11e-05,0.471,0.66,99.77,n,4fXYzCENwz6ScRK8EKeh8W,spotify:track:4fXYzCENwz6ScRK8EKeh8W,https://api.spotify.com/v1/tracks/4fXYzCENwz6ScRK8EKeh8W,https://api.spotify.com/v1/audio-analysis/4fXYzCENwz6ScRK8EKeh8W,224760,3,7
Passengers Of The Night,Lonely Drifter Karen,0.48,0.246,9,-12.416,1,0.0426,0.853,2.43e-06,0.135,0.254,88.916,n,2kOalFgLLff5kCazD0NTYG,spotify:track:2kOalFgLLff5kCazD0NTYG,https://api.spotify.com/v1/tracks/2kOalFgLLff5kCazD0NTYG,https://api.spotify.com/v1/audio-analysis/2kOalFgLLff5kCazD0NTYG,186040,4,12
The Owl Moans Low,Lonely Drifter Karen,0.818,0.345,7,-10.07,0,0.0629,0.919,0.0478,0.0961,0.871,108.146,n,5m5WcnvETLkCb1oDMKr8mY,spotify:track:5m5WcnvETLkCb1oDMKr8mY,https://api.spotify.com/v1/tracks/5m5WcnvETLkCb1oDMKr8mY,https://api.spotify.com/v1/audio-analysis/5m5WcnvETLkCb1oDMKr8mY,65960,3,6
Climb,Lonely Drifter Karen,0.409,0.417,7,-11.704,0,0.223,0.746,0.000105,0.029,0.307,171.15,n,0N4Y388ZlSNVoyFZMMj5ht,spotify:track:0N4Y388ZlSNVoyFZMMj5ht,https://api.spotify.com/v1/tracks/0N4Y388ZlSNVoyFZMMj5ht,https://api.spotify.com/v1/audio-analysis/0N4Y388ZlSNVoyFZMMj5ht,234733,4,12
